Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Thu Dec  3 17:13:25 2015


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       kernel_map.ncd
OUTPUT FILE:      kernel_pad.txt
PART TYPE:        xc7a100t
SPEED GRADE:      -1
PACKAGE:          csg324

Pinout by Pin Number:

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name     |Pin Usage|Pin Name                    |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|C18       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|D1        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|D2        |                |IOB33S   |IO_L14N_T2_SRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|D3        |                |IOB33S   |IO_L12N_T1_MRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|D4        |                |IOB33S   |IO_L11N_T1_SRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|D5        |clk             |IOB      |IO_L11P_T1_SRCC_35          |INPUT    |LVCMOS18*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D6        |                |         |VCCO_35                     |         |           |35            |          |         |           |         |1.80     |          |           |                |
|D7        |m8<2>           |IOB      |IO_L6N_T0_VREF_35           |INPUT    |LVCMOS18*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D8        |                |IOB33M   |IO_L4P_T0_35                |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|D9        |                |IOB33S   |IO_L6N_T0_VREF_16           |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|D10       |                |IOB33S   |IO_L19N_T3_VREF_16          |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|D11       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|D12       |                |IOB33M   |IO_L6P_T0_15                |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|D13       |IN7<4>          |IOB      |IO_L6N_T0_VREF_15           |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D14       |                |IOB33M   |IO_L1P_T0_AD0P_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|D15       |IN1<1>          |IOB      |IO_L12P_T1_MRCC_15          |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D16       |                |         |VCCO_15                     |         |           |15            |          |         |           |         |1.80     |          |           |                |
|D17       |                |IOB33S   |IO_L16N_T2_A27_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|D18       |                |IOB33S   |IO_L21N_T3_DQS_A18_15       |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|E1        |                |IOB33S   |IO_L18N_T2_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|E2        |                |IOB33M   |IO_L14P_T2_SRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|E3        |                |IOB33M   |IO_L12P_T1_MRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|E4        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|E5        |                |IOB33S   |IO_L5N_T0_AD13N_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|E6        |                |IOB33M   |IO_L5P_T0_AD13P_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|E7        |                |IOB33M   |IO_L6P_T0_35                |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|E8        |                |         |VCCBATT_0                   |         |           |              |          |         |           |         |         |          |           |                |
|E9        |                |         |CCLK_0                      |         |           |              |          |         |           |         |         |          |           |                |
|E10       |                |         |TCK_0                       |         |           |              |          |         |           |         |         |          |           |                |
|E11       |                |         |TDI_0                       |         |           |              |          |         |           |         |         |          |           |                |
|E12       |                |         |TMS_0                       |         |           |              |          |         |           |         |         |          |           |                |
|E13       |                |         |TDO_0                       |         |           |              |          |         |           |         |         |          |           |                |
|E14       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|E15       |IN7<7>          |IOB      |IO_L11P_T1_SRCC_15          |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E16       |IN1<6>          |IOB      |IO_L11N_T1_SRCC_15          |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E17       |                |IOB33M   |IO_L16P_T2_A28_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|E18       |                |IOB33M   |IO_L21P_T3_DQS_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|F1        |                |IOB33M   |IO_L18P_T2_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|F2        |                |         |VCCO_35                     |         |           |35            |          |         |           |         |1.80     |          |           |                |
|F3        |                |IOB33S   |IO_L13N_T2_MRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|F4        |                |IOB33M   |IO_L13P_T2_MRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|F5        |                |IOB33    |IO_0_35                     |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|F6        |                |IOB33S   |IO_L19N_T3_VREF_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|F7        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F8        |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|F9        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F10       |                |         |VCCBRAM                     |         |           |              |          |         |           |         |         |          |           |                |
|F11       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F12       |                |         |VCCAUX                      |         |           |              |          |         |           |         |1.8      |          |           |                |
|F13       |                |IOB33M   |IO_L5P_T0_AD9P_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|F14       |IN7<2>          |IOB      |IO_L5N_T0_AD9N_15           |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F15       |                |IOB33M   |IO_L14P_T2_SRCC_15          |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|F16       |IN1<5>          |IOB      |IO_L14N_T2_SRCC_15          |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F17       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F18       |                |IOB33S   |IO_L22N_T3_A16_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|G1        |                |IOB33S   |IO_L17N_T2_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|G2        |                |IOB33S   |IO_L15N_T2_DQS_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|G3        |                |IOB33S   |IO_L20N_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|G4        |                |IOB33M   |IO_L20P_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|G5        |                |         |VCCO_35                     |         |           |35            |          |         |           |         |1.80     |          |           |                |
|G6        |                |IOB33M   |IO_L19P_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|G7        |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|G8        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|G9        |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|G10       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|G11       |                |         |VCCBRAM                     |         |           |              |          |         |           |         |         |          |           |                |
|G12       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|G13       |                |IOB33    |IO_0_15                     |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|G14       |IN1<7>          |IOB      |IO_L15N_T2_DQS_ADV_B_15     |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G15       |                |         |VCCO_15                     |         |           |15            |          |         |           |         |1.80     |          |           |                |
|G16       |IN1<3>          |IOB      |IO_L13N_T2_MRCC_15          |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G17       |                |IOB33S   |IO_L18N_T2_A23_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|G18       |                |IOB33M   |IO_L22P_T3_A17_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|H1        |                |IOB33M   |IO_L17P_T2_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|H2        |                |IOB33M   |IO_L15P_T2_DQS_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|H3        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|H4        |                |IOB33S   |IO_L21N_T3_DQS_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|H5        |IN6<5>          |IOB      |IO_L24N_T3_35               |INPUT    |LVCMOS18*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H6        |IN6<2>          |IOB      |IO_L24P_T3_35               |INPUT    |LVCMOS18*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H7        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|H8        |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|H9        |                |         |GNDADC_0                    |         |           |              |          |         |           |         |         |          |           |                |
|H10       |                |         |VCCADC_0                    |         |           |              |          |         |           |         |         |          |           |                |
|H11       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|H12       |                |         |VCCAUX                      |         |           |              |          |         |           |         |1.8      |          |           |                |
|H13       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|H14       |                |IOB33M   |IO_L15P_T2_DQS_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|H15       |                |IOB33S   |IO_L19N_T3_A21_VREF_15      |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|H16       |                |IOB33M   |IO_L13P_T2_MRCC_15          |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|H17       |                |IOB33M   |IO_L18P_T2_A24_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|H18       |                |         |VCCO_15                     |         |           |15            |          |         |           |         |1.80     |          |           |                |
|J1        |                |         |VCCO_35                     |         |           |35            |          |         |           |         |1.80     |          |           |                |
|J2        |                |IOB33S   |IO_L22N_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|J3        |                |IOB33M   |IO_L22P_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|J4        |                |IOB33M   |IO_L21P_T3_DQS_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|J5        |IN6<0>          |IOB      |IO_25_35                    |INPUT    |LVCMOS18*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J6        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|J7        |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|J8        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|J9        |                |         |VREFN_0                     |         |           |              |          |         |           |         |         |          |           |                |
|J10       |                |IPAD     |VP_0                        |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|J11       |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|J12       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|J13       |                |IOB33S   |IO_L17N_T2_A25_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|J14       |                |IOB33M   |IO_L19P_T3_A22_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|J15       |IN9<2>          |IOB      |IO_L24N_T3_RS0_15           |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J16       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|J17       |                |IOB33M   |IO_L23P_T3_FOE_B_15         |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|J18       |                |IOB33S   |IO_L23N_T3_FWE_B_15         |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|K1        |                |IOB33S   |IO_L23N_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|K2        |                |IOB33M   |IO_L23P_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|K3        |IN6<7>          |IOB      |IO_L2P_T0_34                |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K4        |                |         |VCCO_34                     |         |           |34            |          |         |           |         |1.80     |          |           |                |
|K5        |IN8<0>          |IOB      |IO_L5P_T0_34                |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K6        |IN6<3>          |IOB      |IO_0_34                     |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K7        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|K8        |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|K9        |                |IPAD     |VN_0                        |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|K10       |                |         |VREFP_0                     |         |           |              |          |         |           |         |         |          |           |                |
|K11       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|K12       |                |         |VCCAUX                      |         |           |              |          |         |           |         |1.8      |          |           |                |
|K13       |                |IOB33M   |IO_L17P_T2_A26_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|K14       |                |         |VCCO_15                     |         |           |15            |          |         |           |         |1.80     |          |           |                |
|K15       |IN9<7>          |IOB      |IO_L24P_T3_RS1_15           |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K16       |IN9<3>          |IOB      |IO_25_15                    |INPUT    |LVCMOS18*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K17       |IN5<0>          |IOB      |IO_L1P_T0_D00_MOSI_14       |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K18       |IN9<1>          |IOB      |IO_L1N_T0_D01_DIN_14        |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L1        |IN8<2>          |IOB      |IO_L1P_T0_34                |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L2        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|L3        |IN6<4>          |IOB      |IO_L2N_T0_34                |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L4        |IN8<1>          |IOB      |IO_L5N_T0_34                |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L5        |IN8<4>          |IOB      |IO_L6N_T0_VREF_34           |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L6        |                |IOB33M   |IO_L6P_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|L7        |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|L8        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|L9        |                |         |DXN_0                       |         |           |              |          |         |           |         |         |          |           |                |
|L10       |                |         |DXP_0                       |         |           |              |          |         |           |         |         |          |           |                |
|L11       |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|L12       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|L13       |                |IOB33M   |IO_L6P_T0_FCS_B_14          |UNUSED   |           |14            |          |         |           |         |         |          |           |                |
|L14       |IN5<2>          |IOB      |IO_L2P_T0_D02_14            |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L15       |IN9<5>          |IOB      |IO_L3P_T0_DQS_PUDC_B_14     |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L16       |IN9<6>          |IOB      |IO_L3N_T0_DQS_EMCCLK_14     |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L17       |                |         |VCCO_14                     |         |           |14            |          |         |           |         |1.80     |          |           |                |
|L18       |IN5<6>          |IOB      |IO_L4P_T0_D04_14            |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M1        |IN6<1>          |IOB      |IO_L1N_T0_34                |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M2        |IN8<6>          |IOB      |IO_L4N_T0_34                |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M3        |IN8<5>          |IOB      |IO_L4P_T0_34                |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M4        |m5<1>           |IOB      |IO_L16P_T2_34               |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M5        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|M6        |m5<2>           |IOB      |IO_L18P_T2_34               |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M7        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|M8        |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|M9        |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|M10       |                |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|M11       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|M12       |                |         |VCCAUX                      |         |           |              |          |         |           |         |1.8      |          |           |                |
|M13       |IN5<4>          |IOB      |IO_L6N_T0_D08_VREF_14       |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M14       |IN9<4>          |IOB      |IO_L2N_T0_D03_14            |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M15       |                |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|M16       |IN2<2>          |IOB      |IO_L10P_T1_D14_14           |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M17       |IN2<3>          |IOB      |IO_L10N_T1_D15_14           |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M18       |IN5<3>          |IOB      |IO_L4N_T0_D05_14            |INPUT    |LVCMOS18*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N1        |IN6<6>          |IOB      |IO_L3N_T0_DQS_34            |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N2        |IN8<3>          |IOB      |IO_L3P_T0_DQS_34            |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N3        |                |         |VCCO_34                     |         |           |34            |          |         |           |         |1.80     |          |           |                |
|N4        |m9<2>           |IOB      |IO_L16N_T2_34               |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N5        |m6<0>           |IOB      |IO_L13P_T2_MRCC_34          |INPUT    |LVCMOS18*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
